NORAD_CAT_ID,OBJECT_NAME,OBJECT_ID,EPOCH,CREATION_DATE,INCLINATION,RA_OF_ASC_NODE,ECCENTRICITY,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,SEMIMAJOR_AXIS,PERIOD,BSTAR,DECAY_DATE,TLE_LINE1,TLE_LINE2,ELEMENT_SET_NO
56383,STARLINK-6166,2023-061K,2026-07-26T05:14:20.156640,2026-07-26T10:36:54,43.0020,135.7504,0.00017206,266.0845,93.9810,15.27591527,6861.152,94.266,0.00002923050600,,1 56383U 23061K   26207.21828885  .00000542  00000-0  29231-4 0  9998,2 56383  43.0020 135.7504 0001721 266.0845  93.9810 15.27591527177934,999
56384,STARLINK-6153,2023-061L,2026-07-26T03:36:28.590624,2026-07-26T10:36:54,43.0014,136.0980,0.00014118,262.7757,97.2934,15.27576202,6861.197,94.267,0.00002869528500,,1 56384U 23061L   26207.15033091  .00000527  00000-0  28695-4 0  9995,2 56384  43.0014 136.0980 0001412 262.7757  97.2934 15.27576202177928,999
56385,STARLINK-6173,2023-061M,2026-07-26T05:01:23.343744,2026-07-26T10:36:54,43.0036,135.6821,0.00015394,272.0156,88.0519,15.27573421,6861.206,94.267,-0.00000284677000,,1 56385U 23061M   26207.20929796 -.00000341  00000-0 -28468-5 0  9993,2 56385  43.0036 135.6821 0001539 272.0156  88.0519 15.27573421177937,999
56386,STARLINK-5836,2023-061N,2026-07-26T03:47:35.105280,2026-07-26T10:36:54,43.0006,136.1542,0.00011168,262.4771,97.5954,15.27578153,6861.192,94.267,-0.00001803181000,,1 56386U 23061N   26207.15804520 -.00000758  00000-0 -18032-4 0  9992,2 56386  43.0006 136.1542 0001117 262.4771  97.5954 15.27578153177923,999
56387,STARLINK-6178,2023-061P,2026-07-26T02:55:46.203456,2026-07-26T10:36:54,43.0045,135.8924,0.00011173,272.9841,87.0883,15.27575171,6861.201,94.267,0.00002442688700,,1 56387U 23061P   26207.12206254  .00000410  00000-0  24427-4 0  9998,2 56387  43.0045 135.8924 0001117 272.9841  87.0883 15.27575171177923,999
56388,STARLINK-6176,2023-061Q,2026-07-26T04:02:23.777664,2026-07-26T10:36:54,43.0027,136.2169,0.00009203,257.6764,102.3985,15.27577543,6861.193,94.267,0.00005183715400,,1 56388U 23061Q   26207.16833076  .00001165  00000-0  51837-4 0  9994,2 56388  43.0027 136.2169 0000920 257.6764 102.3985 15.27577543177924,999
56389,STARLINK-6145,2023-061R,2026-07-26T05:16:11.219520,2026-07-26T10:36:54,43.0022,135.7530,0.00011891,260.8350,99.2368,15.27577859,6861.193,94.267,0.00000893095600,,1 56389U 23061R   26207.21957430 -.00000016  00000-0  89310-5 0  9995,2 56389  43.0022 135.7530 0001189 260.8350  99.2368 15.27577859177931,999
56391,STARLINK-6298,2023-061T,2026-07-26T04:24:21.214368,2026-07-26T10:36:54,43.0048,135.4887,0.00023352,254.1980,105.8614,15.27580194,6861.186,94.267,0.00004103914400,,1 56391U 23061T   26207.18357887  .00000867  00000-0  41039-4 0  9992,2 56391  43.0048 135.4887 0002335 254.1980 105.8614 15.27580194177937,999
56392,STARLINK-6301,2023-061U,2026-07-26T02:52:18.444288,2026-07-26T10:36:54,43.0019,125.4404,0.00011953,266.4092,93.6623,15.27573404,6861.206,94.267,-0.00000288093300,,1 56392U 23061U   26207.11965792 -.00000341  00000-0 -28809-5 0  9996,2 56392  43.0019 125.4404 0001195 266.4092  93.6623 15.27573404178046,999
56393,STARLINK-6303,2023-061V,2026-07-26T03:21:40.390848,2026-07-26T10:36:54,43.0038,136.0200,0.00017305,258.7195,101.3463,15.27565295,6861.230,94.268,0.00008993644300,,1 56393U 23061V   26207.14005082  .00002212  00000-0  89936-4 0  9991,2 56393  43.0038 136.0200 0001730 258.7195 101.3463 15.27565295177927,999
56394,STARLINK-6305,2023-061W,2026-07-26T03:30:58.259232,2026-07-26T10:36:54,43.0017,124.7835,0.00007060,285.4265,74.6509,15.27569616,6861.217,94.267,0.00010771396000,,1 56394U 23061W   26207.14650763  .00002702  00000-0  10771-3 0  9998,2 56394  43.0017 124.7835 0000706 285.4265  74.6509 15.27569616178059,999
56395,STARLINK-6273,2023-061X,2026-07-26T03:18:12.587616,2026-07-26T10:36:54,43.0014,125.5677,0.00008729,251.4676,108.6081,15.27573265,6861.206,94.267,-0.00001534555400,,1 56395U 23061X   26207.13764569 -.00000684  00000-0 -15346-4 0  9991,2 56395  43.0014 125.5677 0000873 251.4676 108.6081 15.27573265178759,999
56396,STARLINK-6302,2023-061Y,2026-07-26T03:47:36.031488,2026-07-26T10:36:54,43.0074,124.8656,0.00017370,254.1693,105.8967,15.27555337,6861.260,94.268,0.00016465097000,,1 56396U 23061Y   26207.15805592  .00004268  00000-0  16465-3 0  9998,2 56396  43.0074 124.8656 0001737 254.1693 105.8967 15.27555337173188,999
